Academic Year,LSS Number,LSS Name,School Number,School Name,Total HS Completers,Diploma Count ,Diploma Pct,Certificate Count,Certificate Pct,USM Requirements Count,USM Requirements Pct,CTE Requirements Count,CTE Requirements Pct,USM and CTE Requirements Count,USM and CTE Requirements Pct,Met Rigorous Indicator Count,Met Rigorous Indicator Pct,Rigorous Foreign Language Count,Rigorous Foreign Language Pct,Rigorous Math Count,Rigorous Math Pct,Rigorous Science Count,Rigorous Science Pct,Rigorous Tech Ed Count,Rigorous Tech Ed Pct,Rigorous SAT OR ACT Count,Rigorous SAT OR ACT Pct,Rigorous GPA Count,Rigorous GPA Pct,Create Date 
2019,01,Allegany,0405,Fort Hill High,150,*,>= 95.0,*,<= 5.0,128,85.3,*,<= 5.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,36,24.0,*,<= 5.0,*,<= 5.0,42,28.0,75,50.0,20200715
2019,01,Allegany,0601,Center for Career & Technical Education,121,*,>= 95.0,*,<= 5.0,*,<= 5.0,82,67.8,39,32.2,*,<= 5.0,*,<= 5.0,16,13.2,*,<= 5.0,*,<= 5.0,*,<= 5.0,68,56.2,20200715
2019,01,Allegany,0606,Allegany High,148,*,>= 95.0,*,<= 5.0,118,79.7,*,<= 5.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,44,29.7,*,<= 5.0,*,<= 5.0,60,40.5,91,61.5,20200715
2019,01,Allegany,2404,Mountain Ridge High School,145,*,>= 95.0,*,<= 5.0,131,90.3,*,<= 5.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,50,34.5,*,<= 5.0,*,<= 5.0,55,37.9,106,73.1,20200715
2019,01,Allegany,A,All Allegany Schools,564,*,>= 95.0,*,<= 5.0,377,66.8,82,14.5,39,6.9,*,<= 5.0,*,<= 5.0,146,25.9,*,<= 5.0,*,<= 5.0,162,28.7,340,60.3,20200715
2019,02,Anne Arundel,1033,Glen Burnie High,417,*,>= 95.0,*,<= 5.0,256,61.4,*,<= 5.0,76,18.2,40,9.6,*,<= 5.0,135,32.4,67,16.1,*,<= 5.0,120,28.8,165,39.6,20200715
2019,02,Anne Arundel,1323,North County High,471,*,>= 95.0,*,<= 5.0,354,75.2,*,<= 5.0,36,7.6,80,17.0,*,<= 5.0,149,31.6,114,24.2,*,<= 5.0,176,37.4,184,39.1,20200715
2019,02,Anne Arundel,2013,Severna Park High,424,*,>= 95.0,*,<= 5.0,388,91.5,*,<= 5.0,30,7.1,106,25.0,*,<= 5.0,286,67.5,107,25.2,*,<= 5.0,358,84.4,312,73.6,20200715
2019,02,Anne Arundel,2023,Northeast High,300,*,>= 95.0,*,<= 5.0,260,86.7,*,<= 5.0,25,8.3,28,9.3,*,<= 5.0,109,36.3,45,15.0,*,<= 5.0,118,39.3,134,44.7,20200715
2019,02,Anne Arundel,2233,Anne Arundel Evening High,112,*,>= 95.0,*,<= 5.0,62,55.4,13,11.6,*,<= 5.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,8,7.1,8,7.1,6,5.4,20200715
2019,02,Anne Arundel,2273,Chesapeake High,315,*,>= 95.0,*,<= 5.0,235,74.6,21,6.7,30,9.5,24,7.6,*,<= 5.0,107,34.0,27,8.6,*,<= 5.0,157,49.8,167,53.0,20200715
2019,02,Anne Arundel,2363,Broadneck High,475,*,>= 95.0,*,<= 5.0,424,89.3,*,<= 5.0,24,5.1,120,25.3,*,<= 5.0,228,48.0,131,27.6,*,<= 5.0,326,68.6,279,58.7,20200715
2019,02,Anne Arundel,3013,Arundel High,479,*,>= 95.0,*,<= 5.0,402,83.9,*,<= 5.0,49,10.2,*,<= 5.0,*,<= 5.0,208,43.4,*,<= 5.0,*,<= 5.0,260,54.3,219,45.7,20200715
2019,02,Anne Arundel,3323,Meade High,444,*,>= 95.0,*,<= 5.0,349,78.6,*,<= 5.0,52,11.7,26,5.9,*,<= 5.0,126,28.4,34,7.7,*,<= 5.0,150,33.8,160,36.0,20200715
2019,02,Anne Arundel,3353,Old Mill High,506,*,>= 95.0,*,<= 5.0,427,84.4,*,<= 5.0,42,8.3,50,9.9,*,<= 5.0,158,31.2,52,10.3,*,<= 5.0,206,40.7,236,46.6,20200715
2019,02,Anne Arundel,4013,Annapolis High,386,*,>= 95.0,*,<= 5.0,306,79.3,*,<= 5.0,25,6.5,58,15.0,*,<= 5.0,149,38.6,60,15.5,*,<= 5.0,183,47.4,197,51.0,20200715
2019,02,Anne Arundel,4023,Southern High,231,*,>= 95.0,*,<= 5.0,160,69.3,27,11.7,12,5.2,23,10.0,*,<= 5.0,76,32.9,32,13.9,*,<= 5.0,110,47.6,129,55.8,20200715
2019,02,Anne Arundel,4074,Phoenix Academy,38,*,>= 95.0,*,<= 5.0,20,52.6,13,34.2,*,<= 5.0,*,<= 5.0,*,<= 5.0,4,10.5,*,<= 5.0,*,<= 5.0,*,<= 5.0,4,10.5,20200715
2019,02,Anne Arundel,4293,South River High,508,*,>= 95.0,*,<= 5.0,362,71.3,27,5.3,115,22.6,136,26.8,*,<= 5.0,279,54.9,142,28.0,*,<= 5.0,346,68.1,317,62.4,20200715
2019,02,Anne Arundel,6223,Chesapeake Science Point,57,*,>= 95.0,*,<= 5.0,*,>= 95.0,*,<= 5.0,*,<= 5.0,25,43.9,*,<= 5.0,45,78.9,18,31.6,34,59.6,39,68.4,39,68.4,20200715
2019,02,Anne Arundel,A,All Anne Arundel Schools,5163,*,>= 95.0,*,<= 5.0,4062,78.7,*,<= 5.0,518,10.0,740,14.3,*,<= 5.0,2063,40.0,854,16.5,*,<= 5.0,2558,49.5,2548,49.4,20200715
2019,03,Baltimore County,0111,Maiden Choice School,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,20200715
